class,precision,recall,f1-score,support
No Tumor,0.9899328859060402,0.9833333333333333,0.9866220735785953,300
Yes Tumor,0.9834437086092715,0.99,0.9867109634551495,300
accuracy,,,0.9866666666666667,600
